genome_id	genome_name	taxonomy
1042375.3	Marinobacterium stanieri S30	Marinobacterium, Oceanospirillaceae, Oceanospirillales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1042377.3	Alteromonas sp. S89	Microbulbifer, Microbulbiferaceae, Cellvibrionales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1046581.3	Chlamydiaceae bacterium 10-1398/6	Chlamydia, Chlamydia/Chlamydophila group, Chlamydiaceae, Chlamydiales, Chlamydiia, Chlamydiae, PVC group, Bacteria, cellular organisms
1048339.7	Sporichthya polymorpha DSM 43042	Sporichthya, Sporichthyaceae, Sporichthyales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1048740.6	Candidatus Protistobacter heckmanni POH1	Candidatus Protistobacter, Burkholderiaceae, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1048830.3	Mycoplasma iowae 695	Malacoplasma, Mycoplasmoidaceae, Mycoplasmoidales, Tenericutes, Terrabacteria group, Bacteria, cellular organisms
1049972.3	Leptospira licerasiae serovar Varillal str. VAR 010	Leptospira, Leptospiraceae, Leptospirales, Spirochaetia, Spirochaetes, Bacteria, cellular organisms
1050202.3	Actinopolyspora mortivallis DSM 44261 strain HS-1	Actinopolyspora, Actinopolysporaceae, Actinopolysporales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1050370.4	Thiomonas sp. X19	Thiomonas, Burkholderiales genera incertae sedis, Burkholderiales, Betaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1051139.6	Salinisphaera halophila YIM 95161	Salinisphaera, Salinisphaeraceae, Salinisphaerales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1051632.5	Sulfobacillus acidophilus TPY	Sulfobacillus, Clostridiales Family XVII. Incertae Sedis, Eubacteriales incertae sedis, Eubacteriales, Clostridia, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1052260.5	Klenkia soli strain DSM 45843	Klenkia, Geodermatophilaceae, Geodermatophilales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1054138.3	uncultured Hellea sp. strain 0.2_20180319_Bin_203_sub_1	Hellea, Robiginitomaculaceae, Maricaulales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1054217.5	Thermoplasmatales archaeon BRNA1	Thermoplasmatales, Thermoplasmata, Candidatus Thermoplasmatota, Archaea, cellular organisms
1056495.6	Caldisphaera lagunensis DSM 15908	Caldisphaera, Caldisphaeraceae, Acidilobales, Thermoprotei, Crenarchaeota, TACK group, Archaea, cellular organisms
1056817.3	Teredinibacter turnerae T8602	Teredinibacter, Cellvibrionaceae, Cellvibrionales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
106370.16	Frankia sp. CcI3	Frankia, Frankiaceae, Frankiales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1069.3	Rhodomicrobium vannielii strain R_RK_2	Rhodomicrobium, Hyphomicrobiaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1069080.9	Succinispira mobilis DSM 6222	Succinispira, Acidaminococcaceae, Acidaminococcales, Negativicutes, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1069448.9	Nitriliruptor alkaliphilus DSM 45188	Nitriliruptor, Nitriliruptoraceae, Nitriliruptorales, Nitriliruptoria, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1069640.6	Sneathia sp. Sn35	Sneathia, Leptotrichiaceae, Fusobacteriales, Fusobacteriia, Fusobacteria, Bacteria, cellular organisms
1070130.4	Candidatus Gullanella endobia strain GEFVIR	Candidatus Gullanella, ant, tsetse, mealybug, aphid, etc. endosymbionts, Enterobacteriaceae incertae sedis, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1071085.3	haloarchaeon 3A1_DGR	Halobacteriales, Halobacteria, Stenosarchaea group, Euryarchaeota, Archaea, cellular organisms
1074488.3	Brachybacterium squillarum M-6-3	Brachybacterium, Dermabacteraceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1075399.3	Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu	Blattabacterium, Blattabacteriaceae, Flavobacteriales, Flavobacteriia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms
1075417.3	Catalinimonas alkaloidigena strain DSM 25186	Catalinimonas, Catalimonadaceae, Cytophagales, Cytophagia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms
1077144.3	Dietzia alimentaria 72	Dietzia, Dietziaceae, Corynebacteriales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1078050.4	Seleniivibrio woodruffii strain S4	Seleniivibrio, Geovibrionaceae, Deferribacterales, Deferribacteres, Deferribacteres, Bacteria, cellular organisms
107806.10	Buchnera aphidicola str. APS (Acyrthosiphon pisum)	Buchnera, Erwiniaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1079.14	Blastochloris viridis strain 1	Blastochloris, Blastochloridaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
108080.4	Candidatus Blochmannia herculeanus C-056	Candidatus Blochmannia, ant endosymbionts, ant, tsetse, mealybug, aphid, etc. endosymbionts, Enterobacteriaceae incertae sedis, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1081631.12	Candidatus Schneideria nysicola strain NB	Candidatus Schneideria, Enterobacteriaceae, Enterobacterales, Gammaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1081644.3	Candidatus Aquiluna sp. IMCC13023	Aquiluna, Luna-1 subcluster, Luna cluster, Microbacteriaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1081904.3	Prevotella pleuritidis F0068	Prevotella, Prevotellaceae, Bacteroidales, Bacteroidia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms
1082276.3	Hydrogenispora ethanolica strain LX-B	Hydrogenispora, Firmicutes sensu stricto incertae sedis, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1082479.3	Limimonas halophila strain DSM 25584	Limimonas, Rhodovibrionaceae, Hyphomicrobiales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1087479.3	Carnobacterium maltaromaticum ATCC 35586	Carnobacterium, Carnobacteriaceae, Lactobacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1088868.3	Commensalibacter intestini A911	Commensalibacter, Acetobacteraceae, Rhodospirillales, Alphaproteobacteria, Proteobacteria, Bacteria, cellular organisms
1089455.3	Mobilicoccus pelagius NBRC 104925	Mobilicoccus, Dermatophilaceae, Micrococcales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
1089547.3	Rudanella lutea DSM 19387	Rudanella, Cytophagaceae, Cytophagales, Cytophagia, Bacteroidetes, Bacteroidetes/Chlorobi group, FCB group, Bacteria, cellular organisms
1089548.3	Thermicanus aegyptius DSM 12793	Thermicanus, Bacillales Family X. Incertae Sedis, Bacillales incertae sedis, Bacillales, Bacilli, Firmicutes, Terrabacteria group, Bacteria, cellular organisms
1089549.3	Haloglycomyces albus DSM 45210	Haloglycomyces, Glycomycetaceae, Glycomycetales, Actinomycetia, Actinobacteria, Terrabacteria group, Bacteria, cellular organisms
